
File 1    File 2    Sentence

sd+       sd-       So, we are we are going to start talking about the Raspberry Pi,
sd+       sd-       and some additional topics about what is an embedded system
sd--      sd-       So, the idea of the British government was to launch something like a very cheap platform to help young people even in the in the lower levels of the schools to develop programming application okay to develop their stem the typical abilities and skills in Mathematics, Physics and these kinds of things.
sd--      sd-       So, they just started going on this platform with the idea of in principle to use this only in the British schools, but, quickly the platform started to develop a very of course, it's very cheap solution.
sd++      sd+       in the development of embedded application electronic software solution using the Raspberry Pi, okay.
sd--      sd-       If you have a look to the to the slide, you will see how at the beginning of the project, they immediately started to to sell a lot of products, and when there goes approximately the number of units that the red Raspberry Pi, the foundation of the Raspberry Pi has produced it sold is around 40 million.
sd--      sd-       It's quite important also to know that finally, I think two years or three years ago, they decided to move to move the production of Raspberry Pi to Wales okay, and this is something that is generating an interesting technological area in this part of the of the British, of the British country.
sd++      sd+       B or even more electronic and embedded systems solutions oriented like the Raspberry Pi computer module or the Raspberry Pi Zero, okay.
sd-       sd+       This is the version that we have here and is more or less all the hardware is more or less quite similar in terms of performance in terms of peripherals, in terms of possibilities, okay.
sd-       sd+       The only difference is is the final performance of the processor,
sd+       sd-       the amount of DDR memory that you have available
sd--      sd-       and these kind of things, but the idea of the platform is more or less the same for all the different versions, okay.
sd--      sd-       Which are the main elements that we have in this platform?
sd+       sd-       the manufacturer called system on chip
sd--      sd-       but there's something that Broadcom is not giving information to the developers of how to use this data centre processors unless that you contact with them and sign an agreement to develop solutions.
sd++      sd+       Broadcom provide also a DDR memory one gigabyte or even two gigabytes of DDR memory to store the typical data and code
sd+       sd-       for for your applications in the operating system solution or departmental solution.
sd++      sd+       This is a different chip that is connected in the PCB of this electronic system.
sd-       sd+       We will use that in our lab okay to connect peripherals and connect sensors to implement application, okay.
sd-       sd+       All these elements are available in this platform that I showed you before okay, this platform the Raspberry Pi three model b plus, okay.
sd+       sd-       This system on chip, okay.
sd+       sd++      And additionally, we have this GPU is a graphical processing unit that is able to run different libraries or binaries that are provided also by Broadcom to accelerate typical video applications.
sd--      sd-       This is not open source, okay?
sd+       sd++      And the chip that is provided in the this Ethernet connectivity is also giving you the USB connectivity, okay.
sd+       sd++      So we have plenty of USB ports to connect keyboards, to connect the mouse or to connect other USB printers.
sd-       sd+       Be careful with this, because if you connect any specific USB or five volts and you are not providing enough current,
sd-       sd+       you will see in the bot a lot of messages messages, giving you feedback about the power supply is not stable, you need to give, you need to provide a good power supplier of five volts or with at least two ampers or something like that, something similar, to get a Raspberry Pi running at the maximum performance.
sd-       sd++      And additionally, we have different interfaces to connect a display, high resolution displays, or to connect your typical monitor screens to display your high high resolution graphics, okay.
sd--      sd-       So it's a computer in a very simple and a smaller form factor, very cheap for the development of application.
sd--      sd+       More things that we have available, we have the option to use a very old interface to connect a video output.
sd--      sd-       Of course, we have here an audio connection,
sd-       sd+       the use of an SD card that's crucial for us
sd+       sd-       because here we are going to provide the operating system and the programs to to develop our solutions
sd+       sd++      We are going to connect here the accelerometer and the color sensor and we are going to connect here interface and USB to to the serial line interface
sd-       sd+       to connect these to a computer to see how the system is configured and to run programs and applications, and other things that are available to connect order peripherals.
sd-       sd++      And this is something that will be very familiar for you because you will be connecting the different cables to interface the accelerometer and color sensor, okay.
sd+       sd-       So here's my computer or if you want a very powerful microcontroller, if we want to call this microcontroller.
sd+       sd++      But from the point of view of that we have there the peripherals we have the CPU, in principle is a very powerful microcontroller, okay.
sd+       sd-       Typically 99% of applications are going to use an operating system,
sd++      sd+       this operating system typically is Linux and embedded Linux solution, okay?
sd+       sd-       We have the option of use the Linus provided by the Raspberry Pi foundation,
